project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
6509,FINANCIALLY COMPLETED,RE,39798.00,39798.00,40147.00,42551.00,  1.300 ,  1.157 ,  0.143 ,1
6510,FINANCIALLY COMPLETED,RE,39786.00,39786.00,40482.00,40543.00,  0.500 ,  0.490 ,  0.010 ,1
6511,FINANCIALLY COMPLETED,RE,39800.00,39857.00,40390.00,41394.00,  1.037 ,  0.892 ,  0.145 ,1
6512,ACTIVE,RE,39794.00,39794.00,40602.00,43266.00,  2.250 ,  2.134 ,  0.116 ,
6513,FINANCIALLY COMPLETED,RE,39800.00,39800.00,40390.00,40877.00,  0.500 ,  0.463 ,  0.037 ,1
6514,FINANCIALLY COMPLETED,RE,39798.00,39798.00,40237.00,40999.00,  0.950 ,  0.889 ,  0.061 ,1
6515,FINANCIALLY COMPLETED,RE,39800.00,39800.00,40268.00,41517.00,  0.626 ,  0.562 ,  0.064 ,1
6516,FINANCIALLY COMPLETED,RE,39801.00,39801.00,40329.00,40908.00,  0.225 ,  0.167 ,  0.058 ,1
6517,FINANCIALLY COMPLETED,RE,39800.00,39800.00,40329.00,41274.00,  0.225 ,  0.156 ,  0.069 ,1
6518,FINANCIALLY COMPLETED,RE,39800.00,39800.00,40451.00,41578.00,  0.700 ,  0.679 ,  0.021 ,1
6519,FINANCIALLY COMPLETED,RE,39800.00,39800.00,40178.00,40908.00,  0.500 ,  0.458 ,  0.042 ,1
6520,FINANCIALLY COMPLETED,RE,39805.00,39805.00,40755.00,41729.00,  0.500 ,  0.374 ,  0.126 ,1
6521,FINANCIALLY COMPLETED,RE,39805.00,39805.00,41090.00,42369.00,  2.000 ,  1.484 ,  0.516 ,1
6522,FINANCIALLY COMPLETED,PA,39821.00,39821.00,40359.00,41639.00,  7.028 ,  6.164 ,  0.864 ,1
6523,FINANCIALLY COMPLETED,CD,39832.00,39832.00,40451.00,40816.00,  0.500 ,  0.500 ,  -   ,1
6524,FINANCIALLY COMPLETED,CD,39832.00,39832.00,40421.00,40543.00,  0.450 ,  0.379 ,  0.071 ,
7000,FINANCIALLY COMPLETED,AD,39426.00,39465.00,40209.00,41090.00,  1.200 ,  1.144 ,  0.056 ,0
7001,FINANCIALLY COMPLETED,AD,39426.00,39551.00,40574.00,40709.00,  2.500 ,  0.968 ,  1.532 ,
7002,FINANCIALLY COMPLETED,AD,39426.00,39461.00,40117.00,40999.00,  1.000 ,  0.890 ,  0.110 ,1
7003,FINANCIALLY COMPLETED,AD,39426.00,39500.00,40178.00,40543.00,  0.950 ,  0.484 ,  0.466 ,1
7004,FINANCIALLY COMPLETED,PP,39426.00,39581.00,40178.00,40543.00,  0.900 ,  0.280 ,  0.620 ,
7005,FINANCIALLY COMPLETED,PP,39426.00,39517.00,39813.00,40178.00,  0.500 ,  0.428 ,  0.072 ,
7006,FINANCIALLY COMPLETED,AD,39426.00,39535.00,39844.00,40209.00,  0.600 ,  0.502 ,  0.098 ,1
7007,FINANCIALLY COMPLETED,AD,39426.00,39458.00,39994.00,40724.00,  2.500 ,  1.650 ,  0.850 ,1
